customer_id,region,segment,join_date,age,credit_score
SNB00064,جدة,أفراد,2024-08-18,34,654
SNB00065,الرياض,أفراد,2025-02-01,61,877
SNB00066,جدة,أفراد,2023-05-31,18,628
SNB00067,الرياض,أفراد,2023-11-16,20,858
SNB00068,مكة,أفراد,2024-06-28,63,530
SNB00069,الرياض,شركات متوسطة,2024-10-09,43,607
SNB00070,تبوك,أفراد,2024-03-08,48,445
SNB00071,مكة,أفراد,2025-09-09,25,451
SNB00072,الرياض,أفراد,2024-09-19,60,439
SNB00073,الرياض,أفراد,2025-10-28,63,320
SNB00074,مكة,أفراد,2024-03-26,25,553
SNB00075,الدمام,شركات متوسطة,2023-10-03,52,363
SNB00076,الدمام,أفراد,2024-07-02,56,517
SNB00077,مكة,أفراد,2025-08-19,45,371
SNB00078,الرياض,أفراد,2024-10-26,68,461
SNB00079,جدة,أفراد,2024-03-28,21,429
SNB00080,الرياض,أفراد,2024-10-23,33,880
SNB00081,المدينة,أفراد,2023-03-16,30,524
SNB00082,الدمام,أفراد,2023-10-14,37,879
SNB00083,الرياض,شركات صغيرة,2023-06-07,68,753
SNB00084,الرياض,أفراد,2025-03-15,22,683
SNB00085,الرياض,أفراد,2024-07-08,54,406
SNB00086,الرياض,أفراد,2025-03-22,37,402
SNB00087,الدمام,شركات صغيرة,2024-08-14,41,440
SNB00088,الدمام,أفراد,2024-07-12,53,876
SNB00089,المدينة,أفراد,2023-08-08,51,433
SNB00090,جدة,أفراد,2023-10-07,62,498
SNB00091,الرياض,أفراد,2023-12-22,65,809
SNB00092,الدمام,أفراد,2024-10-09,51,378
SNB00093,مكة,شركات صغيرة,2025-03-24,36,781
SNB00094,جدة,أفراد,2023-02-23,34,811
SNB00095,مكة,أفراد,2023-03-28,22,549
SNB00096,جدة,أفراد,2025-06-29,42,898
SNB00097,جدة,شركات صغيرة,2025-09-27,35,899
SNB00098,جدة,أفراد,2025-05-22,67,782
SNB00099,الرياض,أفراد,2025-02-22,25,471
SNB00100,الرياض,أفراد,2025-02-08,44,316
SNB00101,الرياض,أفراد,2023-08-21,32,593
SNB00102,الدمام,أفراد,2025-08-24,62,693
SNB00103,الرياض,أفراد,2023-11-05,30,797
SNB00104,جدة,أفراد,2023-11-12,33,518
SNB00105,المدينة,أفراد,2023-05-19,39,533
SNB00106,الرياض,أفراد,2023-01-14,37,689
SNB00107,جدة,أفراد,2024-08-05,30,547
SNB00108,مكة,أفراد,2025-12-09,37,351
SNB00109,الرياض,شركات صغيرة,2025-05-12,19,314
SNB00110,الرياض,شركات متوسطة,2024-07-04,52,623
SNB00111,الرياض,شركات متوسطة,2024-02-05,64,740
SNB00112,الرياض,شركات صغيرة,2025-05-18,36,411
SNB00113,أبها,أفراد,2024-05-10,62,306
SNB00114,مكة,أفراد,2023-07-26,54,862
SNB00115,الدمام,أفراد,2025-02-12,23,544
SNB00116,المدينة,أفراد,2023-06-17,31,747
SNB00117,مكة,أفراد,2025-12-26,21,664
SNB00118,الرياض,أفراد,2024-07-11,39,666
SNB00119,المدينة,شركات صغيرة,2023-03-13,68,586
SNB00120,جدة,أفراد,2025-01-01,56,405
SNB00121,مكة,أفراد,2023-02-27,53,312
SNB00122,المدينة,شركات متوسطة,2025-05-29,51,445
SNB00123,الرياض,أفراد,2024-04-30,44,777
SNB00124,الرياض,أفراد,2023-02-27,24,414
SNB00125,الرياض,شركات متوسطة,2024-11-20,20,808
SNB00126,جدة,أفراد,2025-02-22,64,451
SNB00127,مكة,أفراد,2023-11-28,50,356
SNB00128,المدينة,أفراد,2025-02-05,19,681
SNB00129,الرياض,أفراد,2023-01-11,59,456
SNB00130,جدة,شركات صغيرة,2025-12-31,33,432
SNB00131,جدة,أفراد,2024-03-09,42,462
SNB00132,الرياض,أفراد,2023-04-07,32,574
SNB00133,الرياض,أفراد,2025-11-23,41,376
SNB00134,الرياض,أفراد,2025-05-17,32,343
SNB00135,أبها,شركات متوسطة,2023-12-20,48,849
SNB00136,الرياض,أفراد,2024-04-12,31,617
SNB00137,جدة,أفراد,2024-08-29,31,833
SNB00138,الدمام,أفراد,2025-09-05,23,884
SNB00139,جدة,أفراد,2024-08-26,31,453
SNB00140,تبوك,شركات متوسطة,2025-07-24,34,536
SNB00141,تبوك,أفراد,2025-07-10,35,816
SNB00142,الرياض,أفراد,2023-04-12,37,520
SNB00143,جدة,أفراد,2025-08-13,68,609
SNB00144,الرياض,شركات صغيرة,2023-01-07,34,897
SNB00145,الرياض,أفراد,2025-04-19,33,476
SNB00146,الرياض,شركات صغيرة,2025-04-14,57,519
SNB00147,الدمام,أفراد,2023-05-04,56,337
SNB00148,جدة,شركات صغيرة,2025-01-28,69,730
SNB00149,الرياض,أفراد,2024-07-08,49,502
SNB00150,الرياض,أفراد,2023-01-17,61,747
SNB00151,المدينة,أفراد,2023-08-19,26,794
SNB00152,الرياض,أفراد,2024-10-25,44,424
SNB00153,الرياض,شركات متوسطة,2024-11-16,63,364
SNB00154,جدة,شركات صغيرة,2024-04-03,69,543
SNB00155,تبوك,أفراد,2023-10-07,50,826
SNB00156,الرياض,أفراد,2023-11-29,27,525
SNB00157,الدمام,أفراد,2023-07-19,34,764
SNB00158,مكة,شركات صغيرة,2023-02-07,66,592
SNB00159,الرياض,أفراد,2023-06-22,66,680
SNB00160,الدمام,أفراد,2025-04-29,53,465
SNB00161,جدة,أفراد,2024-08-12,34,517
SNB00162,الدمام,أفراد,2024-09-28,35,574
SNB00163,الدمام,أفراد,2025-08-23,69,351
SNB00164,جدة,أفراد,2024-02-09,40,673
SNB00165,الرياض,أفراد,2025-11-19,51,662
SNB00166,مكة,شركات متوسطة,2024-09-17,25,866
SNB00167,الرياض,أفراد,2024-10-07,30,313
SNB00168,الرياض,أفراد,2025-12-18,40,639
SNB00169,الرياض,أفراد,2025-08-09,37,838
SNB00170,جدة,شركات صغيرة,2025-09-03,39,388
SNB00171,الدمام,أفراد,2024-09-20,64,340
SNB00172,الرياض,أفراد,2025-08-16,69,603
SNB00173,جدة,أفراد,2025-10-29,40,567
SNB00174,الرياض,أفراد,2024-02-25,58,437
SNB00175,الدمام,أفراد,2025-08-09,52,305
SNB00176,الرياض,شركات صغيرة,2023-02-14,20,541
SNB00177,الدمام,شركات صغيرة,2024-09-01,51,461
SNB00178,جدة,أفراد,2024-06-10,50,817
SNB00179,أبها,أفراد,2023-04-13,63,700
SNB00180,الرياض,شركات متوسطة,2024-10-20,34,455
SNB00181,الرياض,أفراد,2025-04-06,62,384
SNB00182,الرياض,شركات صغيرة,2023-05-09,36,309
SNB00183,أبها,أفراد,2024-08-22,47,437
SNB00184,المدينة,شركات متوسطة,2023-05-09,40,455
SNB00185,الرياض,شركات صغيرة,2023-09-21,32,707
SNB00186,الدمام,شركات متوسطة,2024-12-08,31,524
SNB00187,مكة,أفراد,2025-06-22,19,879
SNB00188,جدة,أفراد,2025-06-17,56,483
SNB00189,جدة,شركات متوسطة,2023-08-03,66,494
SNB00190,الرياض,أفراد,2024-01-07,35,853
SNB00191,الرياض,أفراد,2023-08-18,23,695
SNB00192,المدينة,أفراد,2023-09-13,49,895
SNB00193,المدينة,شركات صغيرة,2023-05-21,38,433
SNB00194,الدمام,شركات متوسطة,2025-09-13,57,608
SNB00195,الرياض,أفراد,2025-06-14,45,841
SNB00196,الرياض,شركات صغيرة,2025-08-30,44,308
SNB00197,الدمام,أفراد,2023-09-30,19,469
SNB00198,المدينة,أفراد,2024-02-07,50,589
SNB00199,المدينة,أفراد,2025-05-23,33,467
SNB00200,مكة,أفراد,2024-08-10,56,643
SNB00201,الدمام,أفراد,2024-12-05,39,796
SNB00202,الرياض,شركات متوسطة,2024-12-08,60,444
SNB00203,الرياض,أفراد,2023-06-28,64,712
SNB00204,المدينة,أفراد,2025-03-20,30,887
SNB00205,الدمام,شركات متوسطة,2023-08-21,19,756
SNB00206,الرياض,أفراد,2024-12-22,31,601
SNB00207,الرياض,شركات صغيرة,2024-06-10,55,345
SNB00208,الدمام,أفراد,2023-05-30,58,316
SNB00209,الرياض,شركات صغيرة,2024-08-08,45,877
SNB00210,الرياض,أفراد,2025-07-31,24,659
SNB00211,جدة,شركات متوسطة,2023-07-09,35,560
SNB00212,الدمام,أفراد,2025-06-15,58,422
SNB00213,الدمام,أفراد,2025-09-20,53,530
SNB00214,الرياض,شركات صغيرة,2025-12-02,58,411
SNB00215,الدمام,أفراد,2025-06-24,53,892
SNB00216,الرياض,أفراد,2024-09-04,61,545
SNB00217,الرياض,أفراد,2025-01-26,21,690
SNB00218,الدمام,أفراد,2023-09-22,47,691
SNB00219,الدمام,أفراد,2023-04-13,41,627
SNB00220,مكة,أفراد,2023-04-22,37,514
SNB00221,الدمام,أفراد,2024-10-21,63,666
SNB00222,جدة,أفراد,2023-10-03,48,381
SNB00223,الرياض,أفراد,2025-09-03,41,375
SNB00224,جدة,أفراد,2025-01-29,24,826
SNB00225,الرياض,أفراد,2023-11-17,43,802
SNB00226,الرياض,أفراد,2025-12-28,30,778
SNB00227,تبوك,أفراد,2023-10-25,25,671
SNB00228,جدة,شركات صغيرة,2024-07-07,22,564
SNB00229,المدينة,أفراد,2023-06-15,61,563
SNB00230,الدمام,أفراد,2024-05-27,30,409
SNB00231,مكة,أفراد,2023-08-19,46,606
SNB00232,جدة,أفراد,2023-04-11,37,499
SNB00233,جدة,أفراد,2025-02-18,31,525
SNB00234,جدة,أفراد,2024-12-09,49,484
SNB00235,الرياض,أفراد,2024-05-04,67,330
SNB00236,الدمام,أفراد,2024-10-13,44,398
SNB00237,الرياض,أفراد,2025-09-04,42,638
SNB00238,الرياض,أفراد,2025-08-30,69,565
SNB00239,الدمام,أفراد,2024-03-30,21,649
SNB00240,الرياض,أفراد,2025-09-06,38,843
SNB00241,أبها,شركات متوسطة,2025-09-21,35,756
SNB00242,أبها,أفراد,2023-05-01,56,387
SNB00243,المدينة,أفراد,2023-03-09,32,362
SNB00244,جدة,شركات متوسطة,2023-01-10,55,686
SNB00245,الرياض,أفراد,2025-02-13,65,758
SNB00246,أبها,أفراد,2025-09-07,69,885
SNB00247,جدة,شركات صغيرة,2023-02-26,41,568
SNB00248,تبوك,شركات صغيرة,2025-07-21,25,645
SNB00249,تبوك,أفراد,2024-12-17,45,377
SNB00250,المدينة,أفراد,2025-08-14,38,664
SNB00251,الرياض,أفراد,2025-08-15,33,313
SNB00252,جدة,شركات متوسطة,2024-09-07,33,435
SNB00253,المدينة,أفراد,2023-09-28,52,603
SNB00254,الرياض,أفراد,2025-05-01,34,696
SNB00255,الرياض,شركات صغيرة,2024-08-15,26,378
SNB00256,جدة,أفراد,2025-10-12,52,717
SNB00257,أبها,أفراد,2025-07-18,69,541
SNB00258,الدمام,أفراد,2023-08-27,46,350
SNB00259,جدة,أفراد,2023-01-27,56,683
SNB00260,الرياض,شركات صغيرة,2024-03-25,35,674
SNB00261,الدمام,أفراد,2024-07-16,29,505
SNB00262,تبوك,شركات صغيرة,2024-11-09,36,788
SNB00263,الرياض,أفراد,2024-03-29,65,680
SNB00264,جدة,أفراد,2024-08-31,39,610
SNB00265,المدينة,شركات متوسطة,2024-07-07,66,674
SNB00266,الدمام,أفراد,2023-10-14,69,891
SNB00267,الدمام,أفراد,2025-04-08,32,341
SNB00268,الدمام,أفراد,2024-04-27,18,832
SNB00269,جدة,شركات صغيرة,2023-06-10,19,821
SNB00270,الرياض,أفراد,2024-03-25,25,452
SNB00271,مكة,أفراد,2025-08-06,39,611
SNB00272,مكة,أفراد,2025-12-13,42,593
SNB00273,المدينة,أفراد,2023-06-08,19,897
SNB00274,المدينة,شركات صغيرة,2025-06-11,68,412
SNB00275,جدة,أفراد,2025-08-04,26,411
SNB00276,جدة,أفراد,2024-10-22,26,474
SNB00277,مكة,أفراد,2023-03-02,30,601
SNB00278,الدمام,أفراد,2024-07-07,23,815
SNB00279,الدمام,شركات متوسطة,2025-04-05,47,520
SNB00280,مكة,أفراد,2024-01-18,32,470
SNB00281,المدينة,شركات متوسطة,2025-08-14,68,617
SNB00282,الرياض,أفراد,2024-08-19,32,512
SNB00283,جدة,أفراد,2023-12-07,67,552
SNB00284,الرياض,شركات صغيرة,2024-05-28,24,423
SNB00285,جدة,أفراد,2025-02-12,28,512
SNB00286,الرياض,أفراد,2023-07-19,57,384
SNB00287,جدة,شركات متوسطة,2024-04-22,55,815
SNB00288,جدة,أفراد,2023-01-14,57,364
SNB00289,الرياض,أفراد,2025-12-16,19,617
SNB00290,جدة,أفراد,2024-04-28,68,645
SNB00291,الرياض,أفراد,2025-06-03,65,542
SNB00292,الرياض,أفراد,2025-04-01,56,436
SNB00293,مكة,أفراد,2024-07-09,27,546
SNB00294,جدة,أفراد,2025-05-10,61,740
SNB00295,الرياض,شركات صغيرة,2025-05-27,34,344
SNB00296,جدة,أفراد,2025-02-17,24,853
SNB00297,مكة,أفراد,2024-06-23,57,388
SNB00298,الرياض,أفراد,2024-06-03,56,527
SNB00299,الدمام,أفراد,2024-10-27,21,590
SNB00300,الرياض,أفراد,2024-01-30,52,721
SNB00301,الرياض,شركات صغيرة,2024-11-11,68,366
SNB00302,جدة,أفراد,2024-07-10,64,550
SNB00303,جدة,شركات صغيرة,2023-03-03,53,340
SNB00304,الدمام,شركات صغيرة,2023-04-07,48,398
SNB00305,الدمام,أفراد,2024-08-05,42,605
SNB00306,تبوك,أفراد,2025-09-19,58,755
SNB00307,جدة,أفراد,2025-06-26,30,890
SNB00308,الرياض,أفراد,2023-08-18,35,600
SNB00309,مكة,شركات صغيرة,2024-06-14,38,498
SNB00310,الرياض,شركات صغيرة,2025-10-03,65,787
SNB00311,جدة,أفراد,2025-12-25,18,405
SNB00312,الرياض,أفراد,2024-02-18,53,700
SNB00313,الرياض,شركات متوسطة,2025-04-09,67,776
SNB00314,تبوك,شركات متوسطة,2024-07-14,25,421
SNB00315,مكة,أفراد,2025-02-05,69,376
SNB00316,الدمام,أفراد,2023-07-12,65,611
SNB00317,جدة,أفراد,2023-08-10,38,411
SNB00318,الرياض,شركات متوسطة,2025-12-13,60,817
SNB00319,الرياض,أفراد,2025-05-17,69,496
SNB00320,الرياض,أفراد,2025-07-31,38,397
SNB00321,جدة,أفراد,2025-03-02,44,758
SNB00322,الدمام,أفراد,2025-10-20,36,529
SNB00323,الدمام,أفراد,2023-12-07,40,467
SNB00324,الرياض,شركات متوسطة,2025-03-04,68,307
SNB00325,أبها,أفراد,2023-08-05,67,471
SNB00326,الدمام,أفراد,2025-04-15,68,659
SNB00327,جدة,أفراد,2025-10-08,60,494
SNB00328,الدمام,أفراد,2024-04-10,52,568
SNB00329,جدة,أفراد,2023-12-17,57,318
SNB00330,الرياض,أفراد,2025-10-12,69,653
SNB00331,جدة,أفراد,2023-12-31,68,348
SNB00332,مكة,أفراد,2024-10-28,59,763
SNB00333,الرياض,أفراد,2024-08-08,65,655
SNB00334,الرياض,أفراد,2025-06-05,22,457
SNB00335,الرياض,شركات متوسطة,2024-01-08,69,365
SNB00336,الرياض,شركات متوسطة,2023-09-22,58,870
SNB00337,المدينة,أفراد,2025-02-19,25,607
SNB00338,الدمام,أفراد,2024-09-04,28,636
SNB00339,جدة,شركات متوسطة,2025-02-03,33,420
SNB00340,الرياض,أفراد,2025-01-04,56,703
SNB00341,جدة,شركات صغيرة,2023-09-10,64,867
SNB00342,جدة,شركات متوسطة,2025-11-12,41,395
SNB00343,الرياض,أفراد,2024-12-30,38,413
SNB00344,جدة,أفراد,2024-02-21,69,728
SNB00345,جدة,شركات متوسطة,2023-09-11,40,839
SNB00346,الدمام,أفراد,2024-08-11,66,301
SNB00347,الدمام,أفراد,2024-07-04,55,511
SNB00348,الرياض,أفراد,2025-02-09,64,879
SNB00349,جدة,أفراد,2025-05-25,25,632
SNB00350,الدمام,أفراد,2023-11-10,24,323
SNB00351,جدة,أفراد,2025-10-14,19,667
SNB00352,المدينة,شركات متوسطة,2023-05-14,47,805
SNB00353,الدمام,أفراد,2024-10-03,30,475
SNB00354,الرياض,أفراد,2024-11-19,40,728
SNB00355,الرياض,أفراد,2023-06-04,46,741
SNB00356,الدمام,أفراد,2024-01-16,55,847
SNB00357,الرياض,أفراد,2024-04-16,54,813
SNB00358,جدة,شركات متوسطة,2024-09-22,37,660
SNB00359,أبها,شركات صغيرة,2024-10-02,50,573
SNB00360,جدة,أفراد,2025-11-14,46,476
SNB00361,جدة,أفراد,2024-12-02,67,563
SNB00362,الدمام,أفراد,2023-10-08,32,485
SNB00363,جدة,أفراد,2024-02-29,40,826
SNB00364,جدة,أفراد,2024-06-10,59,578
SNB00365,أبها,أفراد,2025-08-12,20,497
SNB00366,جدة,شركات متوسطة,2024-06-09,54,648
SNB00367,تبوك,أفراد,2024-01-13,46,720
SNB00368,المدينة,أفراد,2023-02-23,62,604
SNB00369,الرياض,شركات صغيرة,2023-10-06,25,363
SNB00370,الرياض,أفراد,2024-02-23,39,589
SNB00371,الرياض,أفراد,2025-11-06,46,317
SNB00372,الرياض,أفراد,2025-05-10,19,363
SNB00373,الرياض,أفراد,2024-07-16,58,629
SNB00374,الدمام,شركات صغيرة,2025-01-01,66,316
SNB00375,الرياض,أفراد,2024-07-07,67,742
SNB00376,الرياض,شركات صغيرة,2025-10-15,62,440
SNB00377,مكة,أفراد,2025-05-24,18,607
SNB00378,الرياض,أفراد,2023-07-27,61,743
SNB00379,مكة,شركات صغيرة,2024-01-25,37,795
SNB00380,الرياض,أفراد,2024-03-30,69,725
SNB00381,الرياض,أفراد,2023-07-23,38,774
SNB00382,الدمام,أفراد,2023-02-19,54,544
SNB00383,الدمام,أفراد,2025-05-10,25,749
SNB00384,المدينة,أفراد,2023-11-05,44,650
SNB00385,الدمام,أفراد,2024-12-08,64,898
SNB00386,مكة,أفراد,2024-07-29,52,460
SNB00387,الرياض,أفراد,2025-10-03,23,439
SNB00388,الرياض,شركات متوسطة,2023-07-23,62,792
SNB00389,مكة,أفراد,2025-12-29,61,887
SNB00390,مكة,شركات صغيرة,2023-02-02,36,830
SNB00391,تبوك,أفراد,2024-11-24,35,692
SNB00392,جدة,أفراد,2023-12-18,18,700
SNB00393,جدة,شركات صغيرة,2023-08-02,42,349
SNB00394,مكة,أفراد,2025-08-11,44,594
SNB00395,الرياض,أفراد,2024-02-25,24,724
SNB00396,أبها,أفراد,2024-03-30,61,311
SNB00397,المدينة,أفراد,2025-04-21,59,634
SNB00398,جدة,أفراد,2024-04-26,46,314
SNB00399,مكة,أفراد,2023-02-28,48,327
SNB00400,مكة,شركات صغيرة,2024-04-08,61,687
SNB00401,الرياض,أفراد,2023-09-18,60,591
SNB00402,المدينة,شركات متوسطة,2024-03-04,53,549
SNB00403,جدة,شركات متوسطة,2023-09-30,36,804
SNB00404,مكة,أفراد,2024-05-06,23,397
SNB00405,الرياض,أفراد,2025-04-16,42,636
SNB00406,المدينة,شركات صغيرة,2024-12-05,48,338
SNB00407,جدة,شركات متوسطة,2023-08-24,26,337
SNB00408,الرياض,أفراد,2023-11-17,37,599
SNB00409,المدينة,أفراد,2025-01-10,27,478
SNB00410,الرياض,أفراد,2024-04-25,54,768
SNB00411,الرياض,أفراد,2023-09-23,44,581
SNB00412,أبها,أفراد,2026-01-01,30,463
SNB00413,أبها,أفراد,2024-04-19,58,752
SNB00414,جدة,أفراد,2024-05-24,19,396
SNB00415,الدمام,أفراد,2024-10-28,67,608
SNB00416,جدة,أفراد,2023-08-05,38,561
SNB00417,الرياض,أفراد,2024-03-13,50,592
SNB00418,الرياض,أفراد,2023-05-25,41,548
SNB00419,الدمام,أفراد,2023-07-12,61,544
SNB00420,مكة,أفراد,2023-07-11,59,550
SNB00421,مكة,أفراد,2024-10-21,51,422
SNB00422,مكة,أفراد,2023-02-20,26,624
SNB00423,الرياض,شركات متوسطة,2023-05-08,19,800
SNB00424,جدة,أفراد,2025-01-19,47,365
SNB00425,الرياض,أفراد,2025-07-12,39,358
SNB00426,جدة,أفراد,2024-05-30,63,797
SNB00427,جدة,شركات متوسطة,2023-02-11,28,672
SNB00428,المدينة,أفراد,2024-02-15,60,565
SNB00429,جدة,أفراد,2025-06-24,34,535
SNB00430,الرياض,أفراد,2024-09-07,53,517
SNB00431,الرياض,أفراد,2024-04-06,30,826
SNB00432,مكة,أفراد,2024-09-28,24,740
SNB00433,الدمام,أفراد,2024-11-20,33,705
SNB00434,الرياض,أفراد,2025-03-06,50,888
SNB00435,الرياض,أفراد,2025-11-12,62,768
SNB00436,الدمام,أفراد,2025-09-29,18,409
SNB00437,الرياض,أفراد,2024-08-18,28,652
SNB00438,مكة,شركات صغيرة,2023-05-04,23,390
SNB00439,الدمام,أفراد,2025-08-05,37,713
SNB00440,الرياض,شركات صغيرة,2023-06-14,52,372
SNB00441,الرياض,أفراد,2023-09-06,61,846
SNB00442,تبوك,أفراد,2024-11-29,54,597
SNB00443,جدة,أفراد,2023-11-07,58,582
SNB00444,جدة,شركات متوسطة,2023-03-26,43,804
SNB00445,مكة,أفراد,2023-10-06,29,497
SNB00446,أبها,أفراد,2024-08-20,47,331
SNB00447,تبوك,أفراد,2025-03-05,45,640
SNB00448,مكة,أفراد,2025-12-21,44,633
SNB00449,جدة,أفراد,2025-05-28,59,442
SNB00450,الرياض,أفراد,2023-08-15,36,709
SNB00451,مكة,أفراد,2024-10-10,22,343
SNB00452,جدة,أفراد,2025-01-06,22,331
SNB00453,جدة,أفراد,2023-02-06,58,327
SNB00454,المدينة,أفراد,2023-05-26,44,722
SNB00455,الرياض,أفراد,2025-09-21,45,790
SNB00456,جدة,أفراد,2024-08-09,43,459
SNB00457,الرياض,أفراد,2025-04-28,44,506
SNB00458,جدة,أفراد,2023-06-12,69,317
SNB00459,الرياض,شركات متوسطة,2025-04-03,66,402
SNB00460,الرياض,شركات متوسطة,2023-05-26,59,881
SNB00461,الرياض,شركات صغيرة,2023-01-10,38,531
SNB00462,الدمام,أفراد,2024-03-23,18,723
SNB00463,الدمام,أفراد,2023-07-10,45,846
SNB00464,جدة,أفراد,2023-03-05,65,538
SNB00465,تبوك,أفراد,2023-08-12,32,633
SNB00466,جدة,أفراد,2023-07-03,34,448
SNB00467,الرياض,شركات صغيرة,2025-02-10,43,707
SNB00468,المدينة,شركات صغيرة,2023-05-05,37,316
SNB00469,الرياض,شركات صغيرة,2023-06-25,42,525
SNB00470,تبوك,أفراد,2024-07-20,30,559
SNB00471,الرياض,أفراد,2024-08-13,50,473
SNB00472,تبوك,أفراد,2024-06-13,42,504
SNB00473,الرياض,أفراد,2023-01-30,25,714
SNB00474,المدينة,أفراد,2023-04-15,22,807
SNB00475,جدة,أفراد,2024-08-30,23,452
SNB00476,تبوك,أفراد,2024-06-18,40,402
SNB00477,الرياض,أفراد,2023-07-16,69,364
SNB00478,جدة,أفراد,2025-07-27,47,416
SNB00479,تبوك,شركات صغيرة,2024-05-26,31,455
SNB00480,جدة,أفراد,2024-09-08,40,381
SNB00481,الدمام,شركات صغيرة,2024-06-24,28,817
SNB00482,الدمام,أفراد,2024-02-14,48,366
SNB00483,جدة,أفراد,2024-03-18,23,537
SNB00484,الدمام,أفراد,2025-07-20,28,883
SNB00485,جدة,أفراد,2025-03-24,30,625
SNB00486,المدينة,شركات متوسطة,2025-02-27,29,889
SNB00487,الرياض,أفراد,2024-09-15,19,366
SNB00488,الرياض,أفراد,2023-11-09,52,475
SNB00489,أبها,أفراد,2025-02-23,53,777
SNB00490,المدينة,شركات متوسطة,2024-10-20,34,554
SNB00491,جدة,أفراد,2025-08-23,45,362
SNB00492,الدمام,شركات صغيرة,2023-09-05,45,702
SNB00493,الرياض,أفراد,2023-09-20,39,491
SNB00494,الرياض,أفراد,2024-02-24,55,628
SNB00495,جدة,أفراد,2023-05-23,24,370
SNB00496,جدة,أفراد,2023-09-03,32,362
SNB00497,جدة,أفراد,2025-08-27,49,596
SNB00498,الرياض,شركات صغيرة,2024-11-04,28,544
SNB00499,تبوك,أفراد,2023-08-25,41,818
SNB00500,تبوك,أفراد,2023-10-27,20,692
SNB00501,الدمام,أفراد,2025-11-22,47,476
SNB00502,جدة,أفراد,2023-11-14,23,503
SNB00503,الرياض,أفراد,2023-05-01,19,893
SNB00504,مكة,أفراد,2025-12-20,31,832
SNB00505,الدمام,أفراد,2024-01-12,58,427
SNB00506,الرياض,أفراد,2024-04-30,35,494
